organism,scientific_name,lat,lon,year,locality,county,elev_m,gbifID,basisOfRecord,source_name,source_url
American pika,Ochotona princeps,39.657433,-105.856616,2025,,,,5187855707,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5187855707
American pika,Ochotona princeps,39.39476,-106.094228,2025,,,,5840335308,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5840335308
American pika,Ochotona princeps,40.401048,-105.67078,2025,,,,6178734525,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/6178734525
American pika,Ochotona princeps,40.41165,-105.732753,2025,,,,5188072383,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5188072383
American pika,Ochotona princeps,40.395813,-105.713772,2025,,,,5188280529,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5188280529
American pika,Ochotona princeps,39.666671,-105.86391,2025,,,,5188348577,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5188348577
American pika,Ochotona princeps,38.84292,-105.04989,2025,,,,5198629592,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5198629592
American pika,Ochotona princeps,40.395921,-105.713683,2025,,,,5205926679,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5205926679
American pika,Ochotona princeps,39.119285,-106.443694,2025,,,,5205931736,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5205931736
American pika,Ochotona princeps,40.411442,-105.73256,2025,,,,5205986084,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5205986084
American pika,Ochotona princeps,40.28975,-105.51861,2025,,,,5205995087,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5205995087
American pika,Ochotona princeps,39.048822,-108.075036,2025,,,,5206047791,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5206047791
American pika,Ochotona princeps,40.395757,-105.713785,2025,,,,5206164344,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5206164344
American pika,Ochotona princeps,40.3159,-105.672945,2025,,,,5206423863,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5206423863
American pika,Ochotona princeps,37.794532,-107.545027,2025,,,,5206749581,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5206749581
American pika,Ochotona princeps,40.41294,-105.732221,2025,,,,5215682195,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5215682195
American pika,Ochotona princeps,40.375947,-105.785613,2025,,,,5215997676,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5215997676
American pika,Ochotona princeps,37.907955,-107.769317,2025,,,,5216247197,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5216247197
American pika,Ochotona princeps,40.395606,-105.71276,2025,,,,5216491730,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5216491730
American pika,Ochotona princeps,37.898854,-107.82294,2025,,,,5216689417,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5216689417
American pika,Ochotona princeps,39.671224,-106.310899,2025,,,,5217038982,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5217038982
American pika,Ochotona princeps,37.907975,-107.769362,2025,,,,5217223185,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5217223185
American pika,Ochotona princeps,40.342519,-105.683639,2025,,,,5827876411,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5827876411
American pika,Ochotona princeps,39.339478,-106.130736,2025,,,,5830707011,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5830707011
American pika,Ochotona princeps,37.83191,-107.901635,2025,,,,5868032268,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5868032268
American pika,Ochotona princeps,39.143689,-106.409088,2025,,,,5868256654,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5868256654
American pika,Ochotona princeps,37.831866,-107.901237,2025,,,,5938171331,HUMAN_OBSERVATION,GBIF occurrence record,https://www.gbif.org/occurrence/5938171331
