site_id,organism,location_type,label,lat,lon,elev_m,year,county,notes,source_name,source_url
NWT-030,American pika,survey_plot,Niwot plot NWT-030,40.0611,-105.613434,,,Boulder,Panel: EvenYrs; GRTS occupancy survey plot,Niwot Ridge LTER pika occupancy plots (knb-lter-nwt.17),https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-nwt.17.4
NWT-031,American pika,survey_plot,Niwot plot NWT-031,40.050806,-105.607573,,,Boulder,Panel: EvenYrs; GRTS occupancy survey plot,Niwot Ridge LTER pika occupancy plots (knb-lter-nwt.17),https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-nwt.17.4
NWT-032,American pika,survey_plot,Niwot plot NWT-032,40.06718,-105.591102,,,Boulder,Panel: EvenYrs; GRTS occupancy survey plot,Niwot Ridge LTER pika occupancy plots (knb-lter-nwt.17),https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-nwt.17.4
NWT-033,American pika,survey_plot,Niwot plot NWT-033,40.050006,-105.630767,,,Boulder,Panel: EvenYrs; GRTS occupancy survey plot,Niwot Ridge LTER pika occupancy plots (knb-lter-nwt.17),https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-nwt.17.4
NWT-034,American pika,survey_plot,Niwot plot NWT-034,40.06312,-105.631557,,,Boulder,Panel: EvenYrs; GRTS occupancy survey plot,Niwot Ridge LTER pika occupancy plots (knb-lter-nwt.17),https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-nwt.17.4
NWT-035,American pika,survey_plot,Niwot plot NWT-035,40.049972,-105.596464,,,Boulder,Panel: EvenYrs; GRTS occupancy survey plot,Niwot Ridge LTER pika occupancy plots (knb-lter-nwt.17),https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-nwt.17.4
NWT-036,American pika,survey_plot,Niwot plot NWT-036,40.064842,-105.597344,,,Boulder,Panel: EvenYrs; GRTS occupancy survey plot,Niwot Ridge LTER pika occupancy plots (knb-lter-nwt.17),https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-nwt.17.4
NWT-037,American pika,survey_plot,Niwot plot NWT-037,40.045556,-105.6215,,,Boulder,Panel: EvenYrs; GRTS occupancy survey plot,Niwot Ridge LTER pika occupancy plots (knb-lter-nwt.17),https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-nwt.17.4
NWT-038,American pika,survey_plot,Niwot plot NWT-038,40.049467,-105.638805,,,Boulder,Panel: EvenYrs; GRTS occupancy survey plot,Niwot Ridge LTER pika occupancy plots (knb-lter-nwt.17),https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-nwt.17.4
NWT-039,American pika,survey_plot,Niwot plot NWT-039,40.048824,-105.595915,,,Boulder,Panel: EvenYrs; GRTS occupancy survey plot,Niwot Ridge LTER pika occupancy plots (knb-lter-nwt.17),https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-nwt.17.4
NWT-040,American pika,survey_plot,Niwot plot NWT-040,40.060546,-105.600554,,,Boulder,Panel: EvenYrs; GRTS occupancy survey plot,Niwot Ridge LTER pika occupancy plots (knb-lter-nwt.17),https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-nwt.17.4
NWT-041,American pika,survey_plot,Niwot plot NWT-041,40.046884,-105.627714,,,Boulder,Panel: EvenYrs; GRTS occupancy survey plot,Niwot Ridge LTER pika occupancy plots (knb-lter-nwt.17),https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-nwt.17.4
NWT-042,American pika,survey_plot,Niwot plot NWT-042,40.062235,-105.608367,,,Boulder,Panel: EvenYrs; GRTS occupancy survey plot,Niwot Ridge LTER pika occupancy plots (knb-lter-nwt.17),https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-nwt.17.4
NWT-043,American pika,survey_plot,Niwot plot NWT-043,40.052645,-105.614132,,,Boulder,Panel: EvenYrs; GRTS occupancy survey plot,Niwot Ridge LTER pika occupancy plots (knb-lter-nwt.17),https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-nwt.17.4
NWT-044,American pika,survey_plot,Niwot plot NWT-044,40.065438,-105.585482,,,Boulder,Panel: EvenYrs; GRTS occupancy survey plot,Niwot Ridge LTER pika occupancy plots (knb-lter-nwt.17),https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-nwt.17.4
NWT-045,American pika,survey_plot,Niwot plot NWT-045,40.06164,-105.621424,,,Boulder,Panel: EvenYrs; GRTS occupancy survey plot,Niwot Ridge LTER pika occupancy plots (knb-lter-nwt.17),https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-nwt.17.4
NWT-046,American pika,survey_plot,Niwot plot NWT-046,40.066461,-105.612403,,,Boulder,Panel: EvenYrs; GRTS occupancy survey plot,Niwot Ridge LTER pika occupancy plots (knb-lter-nwt.17),https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-nwt.17.4
NWT-047,American pika,survey_plot,Niwot plot NWT-047,40.047064,-105.612241,,,Boulder,Panel: EvenYrs; GRTS occupancy survey plot,Niwot Ridge LTER pika occupancy plots (knb-lter-nwt.17),https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-nwt.17.4
NWT-048,American pika,survey_plot,Niwot plot NWT-048,40.068873,-105.600358,,,Boulder,Panel: EvenYrs; GRTS occupancy survey plot,Niwot Ridge LTER pika occupancy plots (knb-lter-nwt.17),https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-nwt.17.4
